Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Despicable Me 2,"Nat King Cole Park, 361, Garden Homes, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG,2014,2014-07-07,Y,60619,Nat King Cole Park
42,"Jackie Robinson Park, Manhattan Community Board 10, Manhattan, New York County, New York, United States",PG-13,2014,2014-07-17,Y,60643,Jackie Robinson Park
42,"Avalon Park, Chicago, Hyde Park Township, Cook County, Illinois, United States",PG-13,2014,2014-07-25,Y,60619,Avalon Park
Gravity,"Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG-13,2014,2014-06-25,Y,60645,Rogers Park
Ghostbusters,"Heritage Green Park, 610-630, West Loop Gate, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",PG,2014,2014-08-05,Y,60606,Heritage Green Park
True Grit,"Lincoln Park, Wayne County, Michigan, 48146, United States",NR,2014,2014-08-11,Y,60614,Lincoln Park
The Amazing Spider-Man,"Hermitage Park, Aspen Hill, Montgomery County, Maryland, 20906, United States",PG-13,2014,2014-07-08,Y,60636,Hermitage Park
Man of Steel,"Golden Gate Park, San Francisco, California, United States",PG-13,2014,2014-08-22,Y,60627,Golden Gate Park
The Croods,"Daniel Webster Park, 1357, South Loop, Near South Side, Chicago, South Chicago Township, Cook County, Illinois, 60605, United States",PG,2014,2014-07-29,Y,60605,Daniel Webster Park
@home,,NR,2014,2014-06-03,N,60660,Berger Park Cultural Center
Beasts of the Southern Wild,,PG-13,2014,2014-06-24,Y,60640,Buttercup Playlot Park
The Nut Job,"Paschen Park, 1932, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG,2014,2014-08-19,Y,60626,Paschen Park
Claudine,"South Shore Cultural Center, 7059, South Shore, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States",PG,2014,2014-08-13,Y,60649,South Shore Cultural Center
@home,"West Pullman Park, 401, Andrews and Hurds Subdivision, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60628, United States",NR,2014,2014-06-02,N,60628,West Pullman Park
Life of Pi,"West Pullman Park, 401, Andrews and Hurds Subdivision, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60628, United States",PG,2014,2014-07-06,Y,60628,West Pullman Park
The Help,"Austin Town Hall Park, 5610, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60644, United States",PG-13,2014,2014-07-27,Y,60644,Austin Town Hall Park
Cloudy with a Chance of Meatballs 2,"Gompers Park, 4222, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-07-08,Y,60630,Gompers Park
Michael Jackson's This is It,"Columbus Park, Manhattan Community Board 3, Manhattan, New York County, New York, 10013, United States",PG,2014,2014-06-27,Y,60644,Columbus Park
Gypsy,"Kathy Osterman Beach House, 5800, North Jean Baptiste Point DuSable Lake Shore Drive, Edgewater Beach, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",NR,2014,2014-06-27,N,60660,Kathy Osterman Beach
42,"Robichaux Park, 9247, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60620, United States",PG-13,2014,2014-06-18,Y,60620,Robichaux Park
The Goonies,"Eckhart Park, 1330, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60642, United States",PG,2014,2014-08-10,Y,60642,Eckhart Park
Gremlins,"Chopin Park, 3420, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",PG,2014,2014-06-14,N/A,60641,Chopin Park
The Lego Movie,"Mayfair Park, Toledo, Lucas County, Ohio, 43612, United States",PG,2014,2014-08-23,N/A,60630,Mayfair Park
Mandela: Long Walk to Freedom,"Kenwood Community Park, 1330, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG-13,2014,2014-06-26,Y,60615,Kenwood Community Park
Instructions Not Included,"Blackhawk Park, 2318, Beat 2522, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG-13,2014,2014-08-19,Y,60639,Blackhawk Park
Stomp the Yard,"Moore Park, New South Wales, 2021, Australia",PG-13,2014,2014-08-21,Y,60644,Moore Park
The Muppet Movie,"Touhy Park, 7348, Glenwood Arts District, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",G,2014,2014-07-30,N/A,60626,Touhy Park
Back to the Future,"Hollywood Park, Bexar County, Texas, United States",PG,2014,2014-06-21,Y,60659,Hollywood Park
The Hunger Games: Catching Fire,"Lake Shore Park, Saint Petersburg, Pinellas County, Florida, 33705, United States",PG-13,2014,2014-08-26,Y,60611,Lake Shore Park
Avengers,"Independence Park, Parade Boulevard, Stadium Gardens, New Kingston, Saint Andrew, Surrey County, Jamaica",PG-13,2014,2014-07-11,N/A,60618,Independence Park
Despicable Me 2,"Davis Square Park, 4430, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",PG,2014,2014-07-31,Y,60609,Davis Square Park
Ghostbusters,"Smith Park, Midland County, Texas, United States",PG,2014,2014-07-22,Y,60612,Smith Park
Dr. Strangelove,"Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",PG,2014,2014-06-26,Y,60622,Wicker Park
Gremlins,,PG,2014,2014-07-10,Y,60638,Normandy Playground Park
The Smurfs 2,"Bell Park, Geelong, City of Greater Geelong, Victoria, 3215, Australia",PG,2014,2014-06-19,Y,60634,Bell Park
Ghostbusters,"Dunham Park, Winnipeg, Manitoba, Canada",PG,2014,2014-07-11,Y,60630,Dunham Park
The Lego Movie,"Rutherford Sayre Park, 6871, Beat 2512, Montclare, Chicago, Jefferson Township, Cook County, Illinois, 60707, United States",PG,2014,2014-06-28,Y,60635,Rutherford Sayre Park
Roll Bounce,"Kennicott Park, 4434, North Kenwood, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",PG-13,2014,2014-07-26,Y,60653,Kennicott Park
Delivery Man,"Dunham Park, Winnipeg, Manitoba, Canada",PG-13,2014,2014-06-13,N/A,60630,Dunham Park
Captain Phillips,"Montgomery Park, Johannesburg Ward 88, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2109, South Africa",PG-13,2014,2014-07-19,Y,60606,"Ward, A. Montgomery Park"
Drumline,"Altgeld Park, 515, East Garfield Park, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",PG-13,2014,2014-07-25,Y,60612,Altgeld Park
Happy Feet,"Lake Shore Park, Saint Petersburg, Pinellas County, Florida, 33705, United States",PG,2014,2014-06-24,Y,60611,Lake Shore Park
Lee Daniels' The Butler,"Homan Square Park, 3559, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60624, United States",PG-13,2014,2014-06-22,Y,60624,Homan Square Park
